Topic,Title,Description
Interview,Margot Robbie Doesn't Seem Too Keen On The Idea Of Barbie 2,"While it stands to reason that many people thought that Barbie would be big this summer, it's safe to say that no one thought it would be as big as it was. And no one could have predicted its mark on the culture and the conversations. It started all from a mo…"
Ratings,"Box Office: ‘Napoleon’ Makes $3 Million in Previews, ‘Wish’ Follows With $2.3 Million","Disney is wishing upon a box office star this Thanksgiving, as its latest animated movie “Wish” takes on Apple’s historical drama “Napoleon.” “Wish” is expected to come out on top this weekend, but “Napoleon” won the first box office battle in previews. “Napo…"
Ad,"B2G1 Free Black Friday Blu-Ray Sale At Amazon - Best Deals On Anime, Marvel, DC, And More","Black Friday 2023 is in full effect at Amazon, as the retailer is currently offering a massive buy two, get one free sale. The catalog is filled with hundreds of Blu-ray movies and TV shows, many of which are seeing generous discounts--bringing them down to t…"
Ratings,2023's Box Office Makes Josh Hutcherson The Big Winner Of The Hunger Games Franchise,"Josh Hutcherson won big at the Box Office in 2023, beating fellow Hunger Games co-star JLaw and the new prequel, The Ballad of Songbirds &amp; Snakes."
Review,"The Scott Pilgrim Anime Backlash, Explained","Scott Pilgrim Takes Off, the new animated series based on Bryan Lee O’Malley’s graphic novels, is out on Netflix. The eight-episode series reunites the voice cast of the 2010 live-action movie Scott Pilgrim vs. the World and is a hilarious blend of the series…"
Interview,"Matt Bomer Turned Down Role In 'Barbie' Movie, Reveals Reason Why","Matt Bomer could’ve been one of the stars of the Barbie movie! The 46-year-old Fellow Travelers star has recently revealed that he actually turned down a role as one of the Kens in the box office smash hit based on the Mattel dolls. In a new interview, Matt s…"
Interview,Barbie 2: Margot Robbie Responds to Sequel Speculation,"During a recent interview with AP, Oscar nominee Margot Robbie addressed the possibility of returning for a potential Barbie 2 movie, following the critical and commercial success of Greta Gerwig‘s latest feature. “I think we put everything into this one,” Ro…"
Review,Was 1993 The Best Year For Movies Ever?,"No matter how it's broken down, 1993 was one of the best years ever in the history of movies. Does the list of movies from 1993 make it the best ever?"
Interview,Tim Allen Says Disney Has Reached Out to Him and Tom Hanks for Toy Story 5,Tim Allen has revealed that Disney has contacted both him and Tom Hanks to reprise their roles as Buzz Lightyear and Woody in Toy Story 5.
Ratings,“Napoleon” Beats “Wish” In Box-Office Previews,Disney’s latest animated movie “Wish” and Sony’s Ridley Scott-directed historical drama “Napoleon” had previews last night ahead of their five-day Thanksgiving day holiday weekend releases that began today. The result is the French conqueror came out on top w…
Rumors and Speculation,Jim Carrey Kills The Grinch 2 Rumors and Speculation,"Following recent Rumors and Speculation about Jim Carrey reportedly reprising his iconic role as the Grinch in an upcoming movie, the Golden Globe winner immediately addressed The Grinch 2 casting rumor. According to People, Carrey’s representative debunked the reports about…"
Announcements and Updates,James Bond: Christopher Nolan Addresses Rumors and Speculation That He’s Directing a 007 Movie,"Oppenheimer's Christoper Nolan addresses online Rumors and Speculation claiming that he's directing the next James Bond movie.
The post James Bond: Christopher Nolan Addresses Rumors and Speculation That He’s Directing a 007 Movie appeared first on ComingSoon.net - Movie Trailers, TV & Stre…"
Interview,David Ayer: ‘James Gunn Is the Bravest Man in Hollywood’,"Suicide Squad director David Ayer defended DC Studios co-CEO James Gunn from DC fans on X, who are speculating Gunn’s stance on the director’s cut of the 2016 superhero movie. He expressed his excitement for Gunn’s Superman: Legacy, while also praising him fo…"
List,10 Overlooked Movie Sequels That Deserve A Second Chance,"Sometimes, movies in franchises - mainly first installments - are so good that their perfectly acceptable sequels get overlooked, and that's a shame."
Interview,Just the beginning of the process': Wish producer hints at long road ahead for Frozen 3 and 4,"Wish's co-director and producer confirm Frozen 3 and 4 are on the way, but fans shouldn't expect them any time soon."
Review,Why Mark Wahlberg's Lone Survivor Continues To Be So Popular 10 Years Later,"Biographical war movies typically do well with American audiences. With 2013's Lone Survivor trending on Netflix, the movie appears to be a hit again."
Rumors and Speculation,Was The ‘Coyote vs. Acme’ Movie Canceled For Tax Purposes?,"Studios generally do not make movies just lto create tax write-offs. Wile E. Coyote had no comment. The Road Runner was traveling and unavailable for comment at press time.
The post Was The ‘Coyote vs. Acme’ Movie Canceled For Tax Purposes? appeared first on …"
Announcements and Updates,Major Motion Picture In Danger After Prominent Actress Exits,The future of &quot;Scream VII&quot; is uncertain after actress Jenna Ortega announced she will not return to the latest installment of the Horror movie.
Ratings,"After 18 Years, ‘Wish’ Becomes Walt Disney Animation’s First “Rotten” Movie","The latest feature film to come out of Walt Disney Animation, Wish (2023), isn’t exactly feeling the magic — well, with critics, at least. Ahead of its widespread theatrical debut, the movie shattered an unfortunate record, spelling trouble ahead for its perf…"
Ratings,Tiger 3 Box Office Collection Day 10: Salman Khan's movie becomes all-time biggest Diwali hit,"YRF's Tiger 3 becomes the all-time biggest Diwali hit, crossing the  ₹400-crore mark worldwide."
Rumors and Speculation,HUNTRESS Korean-Language DCU Movie Rumored To Have Enlisted THE VILLAINESS Director Jung Byung-Gil,"We first heard about DC Studios' (rumored) plans to develop a Korean Huntress movie back in July, and the project is reportedly moving forward with Jung Byung-Gil (The Villainess) at the helm..."
Interview,Iman Vellani Shrugs Off ‘The Marvels’ Box Office Woes: ‘That’s for Bob Iger’,"The ""Ms. Marvel"" star isn't losing sleep over the profitability of her big screen debut."
Review,Cool Stuff: Five Nights At Freddy's Brings The Animatronic Terror To 4K Blu-Ray In December,The horror hit Five Nights at Freddy&amp;#39;s is coming home to digital and 4K Blu-ray very soon. Get all the details right here.
Ratings,‘Five Nights At Freddy’s’ Has Now Outgrossed ‘The Flash’ Globally,"Five Nights at Freddy’s has now outgrossed The Flash’s worldwide box office, hitting $271 million to The Flash’s $270 million."
Ratings,"Tiger 3 Day 8 Box Office Collection: Salman Khan’s Movie Records Dip, Earns $1.2 Million","Salman Khan’s latest action-packed movie, Tiger 3, faced a tough challenge on day 8 at the box office. The clash coincided with the intense cricket fever during the World Cup final between India and Australia on Sunday, November 19, 2023. As it was, the World…"
Interview,Jim Carrey's Rep Responds to 'The Grinch 2' Rumors and Speculation,"Jim Carrey‘s rep is speaking out in response to reports that he is preparing to reprise his role as the Grinch in a sequel to How the Grinch Stole Christmas. The 2000 live-action movie was a big box office success, grossing $260 million at the domestic box of…"
Ratings,How Much Disney's Wish Cost To Make & What Box Office It Needs,"Disney's latest animated release, Wish, has proven divisive among critics, but here is how much it cost to make and what it needs at the box office."
Ratings,Why The Marvels Just Broke Another Unwanted MCU Box Office Record,The Marvels' box office failure can only get worse as the Marvel Cinematic Universe's biggest bomb continues to break negative records.
List,"The 25 Best Movie Sequels of All Time, According to Internet Voters",It's hard to nail the second movie in a series—here are 25 successes.
Ad,They’re Karting The Super Mario Bros. Movie Onto Netflix,The latest major licensed film hitting Netflix is the second-biggest box-office hit of the year: ‘The Super Mario Bros. Movie.’
Interview,"John Woo Prefers ‘Real Cinema’ Over Superheros, but ‘There Aren’t Many Movies Like That Lately’","""I like old-fashioned movies, you know?"" the ""Face/Off"" director said."
Ad,"Five Nights At Freddy's Hits Blu-ray December 12th, Digital Next Week","Five Nights At Freddy's has been a smash success at the fall box office, and Universal and Blumhouse are rushing to make sure fans can enjoy the film at home for the holidays. The horror hit is set to release on digital rental services next Tuesday, November …"
Announcements and Updates,‘Superman: Legacy’: Nicholas Hoult Lands Role Of Lex Luther,"EXCLUSIVE: We hear that James Gunn has found his Lex Luther in British actor Nicholas Hoult, several sources tell us. A movie star was always eyed for this role after Gunn selected fresh face David Corenswet in the title role, and Emmy winner Rachel Brosnahan…"
Interview,Blue Beetle Star Shares His Hopes for a Potential Sequel,"Due to its complicated window of release, DC's recent film Blue Beetle was definitely impacted by the effects of the recent strike (including no promotional opportunities for its cast), which unfortunately caused the film to struggle to recoup its budget at t…"
Interview,"Chris Pine Is ""Pretty Confident"" That Dungeons & Dragons 2 Will Happen","In terms of underrated movies that deserved better than they got at the box office, Dungeons & Dragons: Honor Among Thieves might be near the top of the list. The film came out at the end of March, and unfortunately for this film, the world caught Super Mario…"
Review,"Sony’s Weird Spider-Man Extended Universe Explained, To The Extent That It’s Explicable",Why does the studio that controls the rights to Spider-Man keep making movies without Spider-Man in them?
Ratings,THE MARVELS In Danger Of Ending Its Theatrical Run As Lowest-Grossing MCU Movie Of All Time,"Following its disastrous debut, The Marvels is in danger of finishing its theatrical run as the lowest-grossing Marvel Studios movie of all time at the global box office..."
Ratings,Weekend Box Office: Next Trolls Win,"With Thanksgiving weekend on the horizon, we saw some movies filling out the calendar hoping to stamp out their place for what is set to be a strong box office weekend. Well, that's the hope. Traditionally, Thanksgiving is a big...
Read more..."
Announcements and Updates,"Dungeons & Dragons 2 Gets A Confident Update From Chris Pine: ""I've Heard Some Rumors and Speculation""","Chris Pine comments on the chances of Dungeons &amp; Dragons: Honor Among Thieves 2 happening and whether he will return as Edgin, the bard."
Ratings,The Marvels Had Worst 1st and 2nd Weekends In MCU History At US Box Office,"The Marvels had the worst-ever start at the US box office in MCU history and the film didn't do great in its second weekend either. The superhero movie starring Brie Larson made $10.2 million for its second weekend in the US, a 79% decline from its $46 millio…"
Announcements and Updates,Mark Wahlberg's 10-Year-Old War Movie Finds New Success On Netflix,Mark Wahlberg's 10-year-old war movie inspired by an incredible true story finds new success streaming on Netflix in the Global Top 10.
Ratings,May the weekend box office be ever in The Ballad Of Songbirds And Snakes’ favor,"After a couple of slow weekends at the domestic box office, things have bounced back nicely thanks to four pretty big new releases that mostly did okay (and one movie with a limited rollout that did relatively good). The biggest of those big new releases is H…"
Ratings,Twilight's Unbelievable Box Office Run Was A Painful Loss For Paramount Pictures,"15 years ago, Twilight became a box office phenomenon, and yet multiple studios passed on the property, convinced there was no audience. How wrong they were."
Ratings,The Marvels Box Office Goes From Bad To Worse With Catastrophic Second Weekend Drop,The Marvels sets another unenviable box office record as it heads for the Marvel Cinematic Universe&amp;#39;s biggest ever second weekend drop.
Ratings,The Hunger Games: The Ballad Of Songbirds And Snakes Flutters Into $45 Million+ Box Office Opening,"Snow lands on top at the box office this weekend, with The Hunger Games prequel The Ballad of Songbirds and Snakes debuting at No. 1."
Interview,Steven Spielberg Predicts 'Implosion' of Film Industry (2013),"George Lucas echoed Spielberg's sentiments at an event touting the opening of a new USC School of Cinematic Arts building, saying big changes are in store."
Ratings,Ballad Of Songbirds & Snakes Box Office Wins Weekend But Suffers Worst Opening Ever For Hunger Games Franchise,The Hunger Games: Ballad Of Songbirds &amp; Snakes wins the weekend box office but suffers the worst opening weekend in the franchise's history.
List,10 Highest Grossing DC Movies Of All Time,"There is a long and rich history of movies based on DC Comics, but an exceptional few projects have reached fantastic box-office milestones."
Ratings,The Hunger Games: The Ballad of Songbirds & Snakes' Opening Weekend Box Office Numbers Revealed,"The Hunger Games: The Ballad of Songbirds and Snakes is on top! The prequel movie in the Hunger Games franchise leads at the box office with $44 million in its opening weekend from 3,776 theaters, TheWrap reports. Keep reading to find out more… The movie just…"
Interview,THE MARVELS Star Iman Vellani Reveals Another Alternate Ending; Addresses Box Office Struggles And Toxic Fans,The Marvels star Iman Vellani has revealed another of the sequel's alternate endings and talks candidly about the movie's struggles at the box office and what she thinks about the toxic side of MCU fandom.
Interview,‘Bottoms’ Director Emma Seligman On The Joy Of Making A Film “With Gay Characters Being Gay” But “That Not Having To Be The Plot” – Deadline Contenders L.A,"Bottoms writer-director Emma Seligman and star Rachel Sennott came up with the idea for the raunchy teen comedy on a white board, putting down “everything we wanted to see in a movie on the board” from “punching” to “vagina” to “knitting,” said Sennott. The d…"
Ratings,THE MARVELS Suffers Historic Second Weekend Drop At U.S. Box Office As THE HUNGER GAMES Prequel Underwhelms,"We have updated second-weekend numbers for The Marvels and, unfortunately, it's not good news for the latest MCU movie. However, it wasn't the only blockbuster struggling to find an audience in the U.S.!"
Ratings,“Marvels” Box-Office Drop Breaks Record,"Marvel Studios’ “The Marvels” is breaking a record no film wants to break. The movie, which had the worst domestic opening for an MCU film to date with $46.1 million last weekend, is on track for an estimated $10.2 million domestically for the weekend. That’s…"
Ratings,Weekend Box Office: Hunger Games comes in light while Marvels has historic drop,"The Hunger Games prequel came in under expectations while The Marvels ties with Shaquille O'Neal for worst second week drop ever for a comic book movie.
The post Weekend Box Office: Hunger Games comes in light while Marvels has historic drop appeared first on…"
Review,The Biggest Disney Princess Complaint Has Already Been Fixed 7 Times (But Everyone Forgets),"Disney has already fixed its biggest Princess complaint in seven movies and in different ways, but these achievements were overlooked."
Review,There Are Only 2 Grindhouse Trailers Left After Eli Roth's Thanksgiving: Will They Become Movies Too?,"Following the release of Eli Roth slasher Thanksgiving, only two more fake Grindhouse trailers remain - but will they receive movie adaptations too?"
Ratings,Tiger 3 Box Office collection Day 7: Is Salman Khan’s movie a disaster? YRF fails to break even after first week,"Tiger 3 Box Office collection Day 7: Salman Khan's Tiger 3 has made  ₹217.90 crore at the Box Office. However, the film has a budget of  ₹300 crore, indicating that it is yet to break even after one week."
Review,The Legend Of Zelda Movie Must Copy 1 Important Game Change From The Super Mario Bros. Movie,"A live-action The Legend of Zelda movie is finally happening, but it needs to lift one element from The Super Mario Bros. Movie to work."
Interview,Bryan Lee O'Malley hopes you know Scott Pilgrim is a bad guy,CBC News speaks with Toronto writer Bryan Lee O'Malley about why he made Scott Pilgrim Takes Off — the Netflix adaptation of his legendary comic — so different.
Ratings,Tiger 3 Box Office Collection Day 6: Salman Khan's film crosses ₹200-crore mark in one week,Salman Khan and Katrina Kaif's 'Tiger 3' movie has crossed the  ₹200 crore mark at the box office in six days since its release on November 12.
Ratings,"Box Office Woes: ‘Hunger Games,’ ‘Trolls’ And ‘The Marvels’ On Pace For Lowest Grosses In Franchise History","“The Hunger Games: The Ballad of Songbirds and Snakes” grossed $5.75 million in its U.S. preview, and its odds of matching its predecessors’ strong openings are not in its favor."
Interview,Christopher Nolan Reacts To Oppenheimer’s Multiple Box Office Records,"Christopher Nolan reacts to the records broken by the Oppenheimer box office, which include becoming the highest-grossing biopic of all time."
Announcements and Updates,Dune 2 Will Let The Spice Flow In Theaters A Bit Earlier Than We Thought,Spotters tracking wormsign in the deserts of Arrakis estimate that Dune: Part Two will now arrive two weeks earlier than previously announced.
Review,Is There a 'Thanksgiving' (2023) Movie End Credits Scene? Details Revealed!,"The new horror movie Thanksgiving is now in theaters and it has been getting rave reviews, with a Rotten Tomatoes score of 87% at the time this post was published. If the movie does well at the box office, it’ll likely become a new horror franchise from direc…"
Announcements and Updates,Frozen 4's Announcement Confirms A Harsh Truth About The Current State Of Disney Animated Movies,"Frozen 3 is barely in development, yet Frozen 4 has been announced, confirming a harsh truth about Disney's animated movies and their current state."
Announcements and Updates,Frozen 4 Is In The Works Even Though Frozen 3 Isn't Out Yet,"Disney is gearing up to release its next big animated feature, Wish, which promises to be a love letter to all things Disney animation as the studio celebrates its 100th anniversary. However, while Wish is right around the corner, we also have more movies bei…"
Review,The Addams Family Cosplay Perfectly Replicates The '90s Movie Gomez,The Addams Family's beloved patriarch comes to life in impressive new cosplay that perfectly replicates the version played by Raul Julia.
Announcements and Updates,Scarlett Johansson Confirms Her Tower of Terror Movie Is Still Happening at Disney,Black Widow star Scarlett Johansson says her movie adaption of Disney's Tower of Terror ride is still in development.
Review,Disney Shouldn't Release Its Main Song Early,"Disney's Wish is the latest animated feature to enter the studio's musical vault, but the magic is at risk because of a misplaced marketing ploy."
Interview,"‘The Marvels’ Director Freaks on ‘Racist, Sexist, Homophobic’ Haters — but the Flop’s Largest Group of Ticket Buyers Is Male and White","As Disney's ""The Marvels"" goes down as the biggest flop in Marvel Cinematic Universe history, the movie's director Nia DaCosta has played her final three cards: race, gender, and, sexuality."
Announcements and Updates,Marvel release dates: Every upcoming MCU movie and show,"Nowadays, trying to keep up with the release dates of all the upcoming Marvel Studios movies and Disney+ shows is nearly as difficult as keeping …
The post Marvel release dates: Every upcoming MCU movie and show appeared first on BGR."
List,The 25 Greatest Quotes From Beetlejuice,"Beetlejuice is one of Tim Burton's most memorable films, and with so many iconic quotes, it's not hard to see why it's had this much staying power!"
Review,George Lucas' Opening Crawl Set Up The Way To Fix All Star Wars' Canon Problems,Star Wars canon’s continuity problems could all be solved through a different interpretation of the iconic opening crawl created by George Lucas.
List,The Best Hallmark Christmas Movies Ranked,"The warm and fuzzy feelings we associate with Holiday films have also become synonymous with Hallmark Christmas movies. Sweet-natured and wholesome, viewers who love these ... Read More"
List,Our 6 Most Anticipated Movies Coming to Netflix in 2024,An early list of our most anticipated movies coming in 2024.
List,Netflix's most anticipated movies of 2024 revealed!,Netflix has an exciting lineup of movies for 2024! Here's a breakdown of the six most anticipated movies:
Interview,Taika Waititi Wants His Star Wars Film to Recapture Joy of the Original Trilogy,Taika Waititi wants his upcoming Star Wars movie to recapture the joy of the Original Trilogy films.
Interview,"""I Wanna Capture That Joy"": Taika Waititi Explains Why His Star Wars Movie Is Taking So Long",Taika Waititi explains why his Star Wars movie has spent years in development with few Announcements and Updates as he seeks to recapture the joy of the original films.
Interview,"Frozen' Producer Teases Third & Fourth Movies, Says They Will be 'Epic'","We’re getting some new details about the upcoming Frozen movies! Last week, Disney CEO Bob Iger announced that a fourth Frozen movie was in the works, along with a third, which was previously announced. “But I don’t have much to say about those films right no…"
Announcements and Updates,Frozen 4 Movie: All you may want to know,"Disney CEO Bob Iger announced a potential fourth Frozen movie during an appearance on Good Morning America. The franchise's third installment is still in production without a confirmed release date, though IMDB suggests 2025."
Review,The Archies: Everything You Need to Know About Netflix’s Indian Movie,Netflix returns to Riverdale -- this time with a Bollywood twist!
Interview,Kellan Lutz of ‘Twilight’ talks about his action thriller ‘Due Justice’,"Actor Kellan Lutz (“The Twilight” franchise) chatted about starring in the action thriller ""Due Justice.""
The post Kellan Lutz of ‘Twilight’ talks about his action thriller ‘Due Justice’ appeared first on Digital Journal."
Announcements and Updates,"Holiday movie preview: A sweet symphony of Oscar hopefuls, family fare and adventure","If you write about movies, this is the time of year when you write a lot about movies, and they’ll continue to snowball into theaters and onto streaming services through the end of the year."
Announcements and Updates,A new 'Karate Kid’ film is in the works: Here is a look back at the franchise's movies and spinoffs,"A new ""Karate Kid"" movie has been announced, with Ralph Macchio and Jackie Chan starring in the film. Here's a look back at all of the ""Karate Kid"" projects from over the years."
Interview,"Next Goal Wins: Taika Waititi on racism, his legacy and the future of film-making","The Next Goal Wins director gets candid about life, death and ending his film career."
Ad,Contest Challenges Hallmark Fans to Watch Movies for Cash,"A company looking for its first-ever Hallmark Movie Reviewer has launched a contest that offers $2,500 in cash and prizes for one lucky fan."
Announcements and Updates,Actor Suriya Injured During Upcoming Movie Kanguva Shooting,"Tamil Superstar Suriya found himself at the center of a minor accident during the filming of his highly anticipated movie, Kanguva: A Mighty Valiant Saga. The incident occurred recently when the actor was shooting a crucial build-up action shot. Check the new…"
List,"The Very Good, Very Gay Movies of Todd Haynes, Ranked by Queerness","Photo Illustration by Luis G. Rendon/The Daily Beast/Netflix/Everett/Zeitgest Films/The Weinstein Company
When Netflix’s May December hit theaters on Nov. 17, a new generation was introduced to the particular, peculiar pleasures of a Todd Haynes movie. Since…"
Announcements and Updates,Justice League: Crisis on Infinite Earths Trilogy Trailer Released,"During San Diego Comic-Con (SDCC) 2023, we learned that 2024 will bring animated film adaptations for Justice League: Crisis on Infinite Earths (based on the twelve-issue maxi-series by Marv Wolfman & George Pérez) and Watchmen (based on Alan Moore & Dave Gib…"
Review,"There Are Almost Never Thanksgiving Movies, Only Thanksgiving TV Episodes","Thanksgiving is a major holiday in multiple countries, but while it's portrayed in many TV episodes, there aren't a lot movies about Thanksgiving."
Announcements and Updates,Actress fired from new Scream movie over Israel-Gaza posts,Actress Melissa Barrera has been dropped from the upcoming new Scream movie after reportedly sharing social media posts which criticised Israel in its war against Hamas in Gaza.
List,8 Most Powerful Maximals The Transformers Movies Can't Use After Rise Of The Beasts Twist,Transformers: Rise of the Beast included a shocking twist that prevents the saga from using some of the most powerful Maximals in future installments.
Interview,Christopher Nolan Says Streaming-Only Content Is a 'Danger',"An anonymous reader writes: Christopher Nolan made headlines earlier this month when he took a playful jab at streaming platforms while discussing the upcoming home release of ""Oppenheimer."" The atomic bomb drama, which grossed a staggering $950 million in th…"
Review,Superman: Legacy Enlists Nicholas Hoult As Lex Luthor,"It's been a tumultuous ride for DC films, but very soon, filmmaker James Gunn aims to change that by presenting audiences with a new, reimagined version of DC and its iconic characters, starting with the all-important DC project Superman: Legacy! And while we…"
Review,‘Babygirl’ – ‘Bodies Bodies Bodies’ Director Reteams With A24 for Erotic Thriller Starring Nicole Kidman,"Fresh off last year’s Bodies Bodies Bodies, A24 and director Halina Reijn are back together for Babygirl, an upcoming erotic thriller that has one hell of a cast attached at this time. Nicole Kidman, Antonio Banderas and Harris Dickinson are confirmed to star…"
Announcements and Updates,Into the Miyagi-Verse: Jackie Chan and Ralph Macchio team up for a new Karate Kid movie,It's coming out in 2024
Interview,"Face/Off Director John Woo Isn't A Fan Of Superhero Movies, Prefers ""Real Cinema""","John Woo--the director behind action favorites like Hard Boiled, Face/Off, and Mission: Impossible 2--doesn't like superhero movies or stuff with lots of special effects. Instead, the filmmaker would rather watch ""old-fashioned"" films or Martin Scorsese proje…"
List,Every Upcoming Lord Of The Rings Movie & TV Show,The Lord of the Rings franchise has seen a resurgence in film and TV of late; here is every project coming out of Middle-earth in the near future.
Review,Tom Hiddleston’s Next Movie Gives Him The Perfect Franchise Replacement After The MCU,"Tom Hiddleston is famous for his portrayal of Loki in the MCU, but the actor's upcoming movie gives him the perfect franchise replacement."
Review,Christmas-Obsessed Jewish Writer Samantha Herman Talks New Hallmark Film ‘Christmas Island’,"Writer Samantha Herman can’t get enough of the holiday season and being in love with love—so naturally, she writes Christmas movies for the Hallmark Channel. Viewers can now view her eleventh project for the network titled Christmas Island, both set and shot …"
Review,2 Star Wars TV Shows Were Originally Supposed To Be Movies - & They'd Have Been Much Better,"Two Star Wars TV shows released on Disney+ were originally supposed to be movies, and both would have benefited from the latter format in hindsight."
Review,Ahsoka's Final Scenes Reveal Why The Mandalorian Era Is Vital To Star Wars,The final few shots of Ahsoka season 1 prove why the overall era that began with The Mandalorian is important to Star Wars’ lore and mythology.
Rumors and Speculation,Mads Mikkelsen Considered For Doctor Doom?,A new report from scooper John Campea suggests that former “Hannibal” star Mads Mikkelsen is being eyed for a role in Marvel Studios’ upcoming “Fantastic Four” movie – specifically that of Doctor Doom. Campea says in his report that: “What [Campea’s source] c…
Review,How ‘EXmas’ Director Leaned Into 1940s Screwball Comedy for Amazon Freevee Holiday Movie,"Jonah Feingold tells TheWrap how he balanced sabotage with sweetness in the Leighton Meester and Robbie Amell-led rom-com
The post How ‘EXmas’ Director Leaned Into 1940s Screwball Comedy for Amazon Freevee Holiday Movie appeared first on TheWrap."
Announcements and Updates,Disney Creates “Anti-Snow White” Movie After Failed Rachel Zegler Incident,"Disney has seemingly created the “anti-Snow White” movie, just as their upcoming live action film has undergone a ton of negative backlash. If you’ve been staying updated on the ongoing developments surrounding the live-action adaptation of Snow White, you’re…"
Review,How ‘EXmas’ Director Leaned Into 1940s Screwball Comedy for Amazon Freevee Holiday Movie,"Leighton Meester and Robbie Amell play ex-fiancés in a war to win the title of best ex in Amazon Freevee’s upcoming holiday movie “EXmas,” lending itself to the battle of the sexes themes found in 1930s and ’40s screwball comedies. “I thought the idea of two …"
Rumors and Speculation,When Ranbir Asked Rashmika To Choose Between Him And Vijay,"Balakrishna can be seen asking Vijay to say ""I love Rashmika"" over the phone, giving the actress another reason to blush harder"
Announcements and Updates,"Napoleon movie release date, OTT streaming platform. Key details here","Napoleon' will release in theatres during Thanksgiving 2023 and subsequently, the movie will stream on OTT platform too."
Review,Eli Roth gets back to the bloody basics with Thanksgiving,"After dabbling in every genre, the Hostel director returns with a seasonal slasher that no one will mistake as ‘torture porn.’"
Review,The Best Punk Movies to Keep Audiences Rocking Out,"Hollywood feels particularly bloated these days, as mainstream movies all feature superheroes, prequels, and sequels. The current streaming model emphasizes a cutting-cost approach that has ... Read More"
Review,Is Madame Web Part of the MCU (Marvel Cinematic Universe)?,The Madame Web just dropped its first trailer and fans are anxious to know whether the upcoming Sony film is part of the Marvel Cinematic Universe. Here is all you need to know about the movie’s link to the MCU. Is Madame Web part of the MCU? Madame Web is no…
Announcements and Updates,Ridley Scott Has Turned Down Multiple Superhero Movies,"In a recent interview with Deadline, Oscar-nominated filmmaker Ridley Scott admitted that he was offered to direct superhero movies multiple times. Scott explained why he roundly rejected every last proposal. “Yeah, been offered, but just said, no, thank you,…"
Review,Marvel's The Sentry Explained: Who Is Steven Yeun's Thunderbolts Character?,"The Walking Dead's Steven Yuen is joining the MCU in the upcoming Thunderbolts movie. But who is The Sentry, and why is his debut bad news for the Marvel Cinematic Universe?"
Review,Harry Potter Pixar-Style Movie Posters Make Hogwarts Even More Charming,"All of the Harry Potter movies get charming Pixar-style posters in new AI art, and they make Hogwarts seem even more whimsical and welcoming."
Interview,Nolte: Director Promises Upcoming ‘Star Wars’ Movie Will ‘P*ss People Off’,"Director Taika Waititi promises his upcoming Star Wars movie is “gonna piss people off"" after he emasculated Thor in Thor: Love and Thunder."
Review,MCU Phase 5 Revealed The Best Way To Make The Next Avengers War Unique,Battles in the next Avengers movies could suffer from being too similar to their predecessors. MCU Phase 5 just revealed the solution to that problem.
Interview,‘The Wait’ Exclusive Trailer – F. Javier Gutiérrez’s Folk Horror Tragedy Comes to Spain This December,"Spanish filmmaker F. Javier Gutiérrez (Before the Fall, Rings) is back with new movie The Wait (La Espera), described as a sinister folk horror tragedy that takes place in the dark, magic and forgotten Andalusian countryside, a place marked by ancestral tradi…"
Review,2 Huge New Movies Have Been Hiding The Fact That They’re Actually Musicals In Trailers,These two projects are very highly anticipated but have surprisingly chosen to hide the fact that they are musicals in their trailers.
Review,10 Steps To Make The New Harry Potter Remake Perfect,"The Harry Potter universe is incredibly well-drawn, detailed, and complex, and the Max’s TV remake has the chance to become a perfect adaptation."
Rumors and Speculation,Pedro Pascal Might Play Reed Richards in ‘Fantastic Four’ Movie,"Pedro Pascal might play Reed Richards, aka Mr. Fantastic, in the upcoming Marvel Fantastic Four movie. The star of The Mandalorian, The Last of Us, ... Read More"
Announcements and Updates,Ridley Scott Won’t Make A Superhero Movie Despite Offers To Do So Because “The Stories Are F*cking Better” In His Own Movies,"To the surprise of no one, eternal curmudgeon Ridley Scott doesn’t buy into the superhero movie hype. In a new interview with Deadline, the director said he isn’t “a superhero fan” and has “been offered” to make several but always turns them down. Ridley’s re…"
N/A,Is ‘Thanksgiving’ Streaming On Netflix or Prime Video?,Who said slashers are only for Halloween?
N/A,"Screenwriters Behind ‘BlackBerry,’ ‘Flamin Hot’ Share How They Turned Brands Into Stories: ‘We Never Saw Our Movie as a Product Movie’","Intellectual property — the books, films, characters and properties that get butts into seats — has long been a cornerstone of Hollywood moviemaking. But many of this year’s films have drawn from less likely, though perhaps inevitable, sources of inspiration:…"
Announcements and Updates,Taika Waititi jokingly states his Star Wars movie will piss people off,"The eccentric director of the Thor movies returns to indie comedies with Next Goal Wins, but teases his next big production.
The post Taika Waititi jokingly states his Star Wars movie will piss people off appeared first on JoBlo."
Announcements and Updates,Disney's 'Frozen 4' Sparks Backlash,"""Enough is enough!"" one person wrote on X after it was announced both ""Frozen 3"" and ""Frozen 4"" are in the works."
Announcements and Updates,Zack Snyder Teases “Fun And Subversive” ‘Rebel Moon’ Director’s Cuts: “An R-Rated Sci-Fi Movie At This Scale Shouldn’t Exist”,"Fans already knew director’s cuts for Zack Snyder‘s two upcoming “Rebel Moon” movies are coming, but EW got even more details about them in a new interview with Snyder. And while when they’ll get released by Netflix isn’t confirmed yet, other details about th…"
